Crop,MinYield,MaxPesticide,MinInventory,MinTemperature,MaxTemperature,MinPrice,MaxPrice
chick peas dry,894.075,50,5,10,35,2123.75,6438.75
chickpea,1127.975,50,5,10,35,2376.25,5795.75
chicory roots,8141.7,50,5,10,35,2575.0,6417.25
chilli,1397.925,50,5,10,35,1865.0,2998.75
chillies and peppers dry raw,1705.2,50,5,10,35,2408.25,6231.25
chillies and peppers green,9048.1,50,5,10,35,2741.25,6055.0
cinnamon and cinnamon tree flowers raw,637.5,50,5,10,35,2371.25,6527.5
citrus fruit total,6039.675,50,5,10,35,2276.25,6112.0
cloves raw,236.0,50,5,10,35,3675.0,6253.75
cocoa beans,380.075,50,5,10,35,2469.75,5825.0
coconut,748.975,50,5,10,35,3793.75,6043.75
coconuts in shell,3763.9,50,5,10,35,2450.0,4631.25
coffee,2194.375,50,5,10,35,2945.0,5836.75
coffee green,518.975,50,5,10,35,3042.0,5540.0
cotton,2372.175,50,5,10,35,6995.0,7315.0
cow peas dry,434.4,50,5,10,35,2318.75,4550.5
cranberries,2188.5,50,5,10,35,3900.75,6157.5
cucumbers and gherkins,12977.45,50,5,10,35,2513.75,4981.25
currants,2881.25,50,5,10,35,2375.0,5862.5
dates,3213.075,50,5,10,35,2642.5,5847.0
edible roots and tubers with high starch or inulin content n e c fresh,6788.675,50,5,10,35,3027.5,5890.0
eggplants,5355.35,50,5,10,35,1968.75,7190.0
eggs from other birds in shell fresh n e c,163.75,50,5,10,35,2284.5,3762.5
eggs primary,78209.0,50,5,10,35,2295.0,5145.5
fibre crops fibre equivalent,430.05,50,5,10,35,2731.0,6150.0
figs,2893.65,50,5,10,35,2575.0,5980.0
flax raw or retted,514.0,50,5,10,35,2757.0,6582.5
fonio,645.2,50,5,10,35,2532.5,6375.0
fruit primary,9500.8,50,5,10,35,2425.25,5964.0
garlic,646.925,50,5,10,35,3525.0,19606.25
ginger,963.0,50,5,10,35,3782.5,5938.75
ginger raw,5490.35,50,5,10,35,2411.25,6402.5
gooseberries,3426.45,50,5,10,35,2600.0,6555.75
grape,6273.475,50,5,10,35,3425.0,6425.0
green corn,3409.025,50,5,10,35,2797.0,5912.75
green garlic,7670.25,50,5,10,35,2502.5,7060.75
green gram,1163.75,50,5,10,35,6561.25,7410.0
groundnut,1060.75,50,5,10,35,4575.25,5373.75
groundnuts excluding shelled,1032.4,50,5,10,35,2976.25,6572.25
gur,770.05,50,5,10,35,3495.0,4096.25
hazelnuts in shell,518.6,50,5,10,35,3796.75,7050.0
hempseed,422.725,50,5,10,35,2900.0,6060.0
hen eggs in shell fresh,199.25,50,5,10,35,2238.5,6203.25
hop cones,1338.025,50,5,10,35,2580.0,6226.25
jojoba seeds,470.8,50,5,10,35,2350.0,5877.75
jowar,1068.925,50,5,10,35,2417.5,3767.5
jute,2099.175,50,5,10,35,3220.0,6633.75
jute raw or retted,1418.65,50,5,10,35,2396.25,5581.25
kapok fruit,1544.125,50,5,10,35,2187.5,5769.5
karite nuts,1141.3,50,5,10,35,2206.25,5926.5
kenaf and other textile bast fibres raw or retted,942.2,50,5,10,35,2575.0,5625.0
kidneybeans,3568.075,50,5,10,35,3476.25,6446.25
kiwi fruit,10234.2,50,5,10,35,1920.0,5665.0
kola nuts,300.2,50,5,10,35,2499.75,5840.0
leeks and other alliaceous vegetables,4931.75,50,5,10,35,2630.0,5782.5
lemons and limes,4523.6,50,5,10,35,3324.75,6675.0
lentil,1211.325,50,5,10,35,5884.5,6263.75
lentils dry,562.875,50,5,10,35,4917.5,6813.5
lettuce and chicory,13560.7,50,5,10,35,2490.0,6168.75
linseed,849.8,50,5,10,35,2766.25,5911.25
locust beans,2067.4,50,5,10,35,2557.5,5980.25
lupins,1000.0,50,5,10,35,2792.5,6671.25
maize,2115.05,50,5,10,35,1996.25,2227.0
mango,966.675,50,5,10,35,2922.5,5050.0
mangoes guavas and mangosteens,5480.1,50,5,10,35,2300.5,5425.0
mat leaves,4200.0,50,5,10,35,2517.5,6465.0
melonseed,393.625,50,5,10,35,2872.5,6547.5
milk total,6886.0,50,5,10,35,2352.25,6331.25
millet,714.45,50,5,10,35,2492.5,6323.75
mixed grain,2000.0,50,5,10,35,2528.5,6415.0
mothbeans,2243.925,50,5,10,35,2820.0,5925.0
mungbean,959.275,50,5,10,35,2831.25,7200.0
muskmelon,3327.45,50,5,10,35,2576.25,4990.0
mustard,1269.025,50,5,10,35,5537.5,6035.5
mustard seed,677.575,50,5,10,35,2483.75,6090.0
natural rubber in primary forms,780.825,50,5,10,35,2586.25,6215.0
nutmeg mace cardamoms raw,369.8,50,5,10,35,2360.75,5781.25
oats,1418.65,50,5,10,35,2677.5,5200.0
oil palm fruit,9308.45,50,5,10,35,3308.75,6875.0
oilcrops cake equivalent,369.85,50,5,10,35,2932.5,6312.5
oilcrops oil equivalent,422.275,50,5,10,35,2469.25,7046.0
okra,4869.65,50,5,10,35,2198.75,5958.25
olives,1341.425,50,5,10,35,3525.0,6233.75
onions and shallots dry,19988.6,50,5,10,35,2268.75,5965.0
onions and shallots green,7863.5,50,5,10,35,2285.0,6075.0
orange,11507.275,50,5,10,35,2488.75,6113.75
other beans green,4761.9,50,5,10,35,2712.5,7076.25
other berries and fruits of the genus vaccinium n e c,2975.8,50,5,10,35,2465.0,5677.0
other citrus fruit n e c,5940.525,50,5,10,35,2662.5,6557.5
other fibre crops raw n e c,561.8,50,5,10,35,2359.0,5612.75
other fruits n e c,5010.85,50,5,10,35,2891.25,4355.0
other nuts in shell n e c,727.1,50,5,10,35,3556.25,7093.75
other oil seeds n e c,874.275,50,5,10,35,2479.5,6806.75
other pome fruits,2583.325,50,5,10,35,2757.5,6152.5
other pulses n e c,989.125,50,5,10,35,2667.5,6225.0
other stimulant spice and aromatic crops n e c,947.25,50,5,10,35,2883.25,5843.75
other stone fruits,2500.0,50,5,10,35,2837.5,5770.0
other sugar crops n e c,7194.5,50,5,10,35,2475.0,6261.25
other tropical fruits n e c,4866.425,50,5,10,35,3510.0,5785.0
other vegetables fresh n e c,6320.65,50,5,10,35,2622.5,6477.5
papaya,4136.25,50,5,10,35,2582.5,6053.75
papayas,11290.475,50,5,10,35,2521.25,5201.25
peaches and nectarines,5926.15,50,5,10,35,2947.5,6346.75
pears,7699.35,50,5,10,35,2390.0,4566.0
peas dry,870.05,50,5,10,35,2863.25,5797.75
peas green,3576.05,50,5,10,35,2575.0,6500.0
pepper raw,628.45,50,5,10,35,3528.75,6880.25
peppermint spearmint,3519.35,50,5,10,35,2822.5,7450.0
persimmons,6689.125,50,5,10,35,2184.5,5145.0
pigeon peas dry,786.825,50,5,10,35,2781.0,6950.0
pigeonpeas,982.025,50,5,10,35,2363.75,6125.0
pineapples,16965.05,50,5,10,35,2637.5,5782.5
pistachios in shell,376.775,50,5,10,35,2400.0,5194.5
plantains and cooking bananas,5033.325,50,5,10,35,2275.75,4460.0
plums and sloes,3872.7,50,5,10,35,2440.0,5985.0
pomegranate,1206.15,50,5,10,35,3147.5,6426.25
pomelos and grapefruits,8574.95,50,5,10,35,2587.25,6136.75
poppy seed,655.0,50,5,10,35,3482.25,6391.25
potatoes,11497.325,50,5,10,35,2640.5,6200.0
pulses total,826.0,50,5,10,35,2360.0,6121.25
pumpkins squash and gourds,9055.875,50,5,10,35,2390.0,5423.25
pyrethrum dried flowers,376.025,50,5,10,35,2452.5,5422.75
quinces,5057.5,50,5,10,35,2688.25,6425.0
quinoa,676.8,50,5,10,35,3258.25,5310.25
ramie raw or retted,1076.575,50,5,10,35,2242.5,5263.25
rape or colza seed,1295.825,50,5,10,35,2697.5,6087.75
raspberries,3391.325,50,5,10,35,2237.5,7124.5
raw hides and skins of buffaloes,301.0,50,5,10,35,2511.0,6138.75
raw hides and skins of cattle,199.75,50,5,10,35,2550.0,6342.5
raw hides and skins of goats or kids,19.75,50,5,10,35,2946.25,5812.5
raw hides and skins of sheep or lambs,17.75,50,5,10,35,2469.75,5822.5
raw milk of buffalo,5891.0,50,5,10,35,2395.0,5887.25
raw milk of camel,830.0,50,5,10,35,2271.25,5575.0
raw milk of cattle,11116.25,50,5,10,35,2560.0,6287.5
raw milk of goats,305.5,50,5,10,35,2244.0,5745.0
raw milk of sheep,404.75,50,5,10,35,2017.5,4536.25
rice,3433.3,50,5,10,35,2808.25,4510.0
roots and tubers total,10112.125,50,5,10,35,3481.75,7102.5
rye,1389.775,50,5,10,35,2070.0,5906.75
safflower seed,626.0,50,5,10,35,2730.0,6528.75
seed cotton unginned,978.15,50,5,10,35,2923.75,6607.5
sesame seed,445.9,50,5,10,35,2380.0,6096.25
sisal raw,480.875,50,5,10,35,2459.5,6975.0
sour cherries,2478.275,50,5,10,35,2175.0,6017.5
soya beans,1145.175,50,5,10,35,2683.5,6887.5
soybean,1965.575,50,5,10,35,4003.75,4280.0
spinach,8000.0,50,5,10,35,2480.0,5976.25
strawberries,6080.45,50,5,10,35,2442.88,6417.5
string beans,9120.1,50,5,10,35,2473.25,5851.5
sugar beet,33083.475,50,5,10,35,3500.0,6212.5
sugar cane,49405.075,50,5,10,35,2792.5,6402.5
sugar crops primary,49954.175,50,5,10,35,2461.25,5952.5
sunflower seed,1102.9,50,5,10,35,3393.75,7546.25
sweet potatoes,9623.95,50,5,10,35,3340.0,7436.75
tallowtree seeds,2470.4,50,5,10,35,2198.75,5987.5
tangerines mandarins clementines,6934.875,50,5,10,35,3829.25,6787.75
taro,6533.875,50,5,10,35,2710.0,5741.25
tea leaves,1366.725,50,5,10,35,3715.0,6350.0
tomatoes,14771.2,50,5,10,35,2695.0,5866.25
treenuts total,473.625,50,5,10,35,2292.75,4747.5
triticale,2348.3,50,5,10,35,2421.25,5950.75
true hemp raw or retted,1000.0,50,5,10,35,2471.25,6087.5
tung nuts,890.7,50,5,10,35,2536.25,5326.0
unmanufactured tobacco,998.0,50,5,10,35,2728.75,5928.0
vanilla raw,166.1,50,5,10,35,2332.5,4774.5
vegetables primary,8472.575,50,5,10,35,2704.75,5937.5
vetches,802.1,50,5,10,35,2353.75,6328.75
walnuts in shell,1646.825,50,5,10,35,3035.0,6112.0
watermelon,21611.05,50,5,10,35,2761.25,6087.5
wheat,2121.775,50,5,10,35,2485.0,2801.0
yams,8325.575,50,5,10,35,3924.75,6858.75
yautia,10469.1,50,5,10,35,2372.5,5601.75
