Farmer_ID,Crop,Yield,Temperature,Inventory,Pesticide,Price
F00031,raw hides and skins of buffaloes,253.0,23.3591,7.0,52.02,4412.0
F00032,quinoa,1345.1,25.6858,22.0,47.91,3400.0
F00033,triticale,5882.5,27.6355,26.0,32.72,7045.0
F00034,green garlic,7730.1,18.9942,4.0,67.04,5371.0
F00035,gooseberries,3786.1,26.2237,32.0,64.93,5475.0
F00036,buckwheat,1424.7,29.0842,7.0,68.98,1195.0
F00037,hop cones,1227.2,24.995,11.0,62.6,6900.0
F00038,cashewapple,3790.7,34.1772,2.0,31.12,7300.0
F00039,cauliflowers and broccoli,19112.4,27.6726,13.0,68.2,4300.0
F00040,hazelnuts in shell,281.6,21.2543,10.0,19.5,6900.0
F00041,rye,1098.2,21.5335,6.0,24.19,5500.0
F00042,mixed grain,1500.0,23.4799,11.0,17.64,2524.0
F00043,cranberries,2188.5,27.1616,24.0,53.76,2110.0
F00044,abaca manila hemp raw,462.3,23.986,144.0,34.51,4000.0
F00045,rye,3201.0,27.6675,2.0,65.14,2155.0
F00046,muskmelon,1475.0,29.5566,40.0,17.65,4280.0
F00047,currants,5000.0,23.1712,4.0,60.15,2320.0
F00048,cabbage,35948.6,27.6089,2.0,24.3,820.0
F00049,broad beans and horse beans dry,2140.8,23.7509,22.0,56.25,4200.0
F00050,banana,7870.6,26.3986,8.0,37.5,2070.0
F00051,chickpea,473.7,20.6543,50.0,56.47,1250.0
F00052,tea leaves,2061.7,18.8334,2.0,52.5,6350.0
F00053,cashewapple,4405.4,25.4006,9.0,29.4,4000.0
F00054,blackgram,11.0,27.8133,32.0,39.92,6090.0
F00055,unmanufactured tobacco,1016.1,29.6924,36.0,13.31,7200.0
F00056,other sugar crops n e c,11329.7,20.5734,54.0,49.87,5350.0
F00057,ginger raw,12256.3,28.5238,7.0,47.54,1775.0
F00058,eggs from other birds in shell fresh n e c,154.0,19.0438,2.0,56.23,3583.0
F00059,maize,4971.9,23.503,40.0,67.18,1900.0
F00060,tomatoes,50227.3,35.4579,98.0,51.37,15100.0
F00061,pineapples,38944.4,22.7277,18.0,41.26,2600.0
F00062,mangoes guavas and mangosteens,7183.9,31.5585,48.0,17.76,5400.0
F00063,quinces,4758.8,26.5168,2.0,22.94,2750.0
F00064,oilcrops oil equivalent,124.7,28.6602,2.0,56.57,1750.0
F00065,hen eggs in shell fresh,258.0,19.2446,26.0,56.37,3010.0
F00066,raspberries,7869.7,25.6015,52.0,25.02,3100.0
F00067,eggplants,37310.9,28.5042,44.0,45.04,5430.0
F00068,vetches,2501.0,18.4165,44.0,16.66,2430.0
F00069,cereals n e c,3278.6,23.5022,8.0,21.9,4795.0
F00070,taro,7654.8,25.2827,22.0,44.13,4980.0
F00071,sour cherries,4762.6,18.9022,22.0,34.56,6100.0
F00072,gooseberries,5846.2,20.2694,2.0,11.36,1550.0
F00073,asparagus,11794.4,18.5767,24.0,67.32,1460.0
F00074,hazelnuts in shell,1804.5,24.3127,26.0,23.41,4100.0
F00075,carrots and turnips,22914.6,31.5585,6.0,10.97,5600.0
F00076,sunflower seed,1853.5,18.7299,2.0,55.26,10000.0
F00077,persimmons,7127.7,31.4685,80.0,23.39,6700.0
F00078,true hemp raw or retted,12600.0,29.9306,14.0,23.08,1850.0
F00079,peaches and nectarines,18610.6,19.0781,2.0,31.57,1040.0
F00080,pepper raw,3239.7,12.1419,28.0,65.48,3705.0
F00081,other vegetables fresh n e c,7417.0,27.0906,24.0,53.5,2000.0
F00082,almonds in shell,3238.6,18.3136,16.0,62.47,7652.0
F00083,unmanufactured tobacco,2296.9,27.5427,11.0,58.89,2425.0
F00084,yams,8470.1,27.1616,2.0,66.8,16625.0
F00085,chestnuts in shell,1163.4,23.4124,6.0,54.87,2975.0
F00086,grape,9348.6,21.1934,50.0,48.05,3975.0
F00087,papayas,11452.4,18.4741,20.0,25.49,2510.0
F00088,eggplants,124000.0,29.8923,2.0,62.67,1800.0
F00089,cassava fresh,16998.7,23.2862,54.0,12.59,1615.0
F00090,pistachios in shell,461.7,20.1302,4.0,68.22,2030.0
F00091,grape,1419.8,8.8257,26.0,67.38,1700.0
F00092,cherries,6103.4,38.3823,26.0,44.78,9488.0
F00093,tallowtree seeds,2470.4,29.2039,15.0,32.88,2500.0
F00094,pigeon peas dry,720.7,26.031,44.0,30.12,2810.0
F00095,areca nuts,3637.3,27.5391,9.0,18.05,1775.0
F00096,raw milk of sheep,405.0,19.5575,7.0,45.04,6545.0
F00097,brinjal,309.0,26.8249,6.0,57.75,1230.0
F00098,anise badian coriander cumin caraway fennel and juniper berries raw,9349.2,23.6537,28.0,24.2,6538.0
F00099,pumpkins squash and gourds,20200.0,29.7715,6.0,54.0,7100.0
F00100,okra,7853.5,43.6755,10.0,53.36,7514.0
F00101,eggplants,5208.2,26.0397,9.0,56.51,7120.0
F00102,broad beans and horse beans dry,1360.2,25.7304,56.0,36.27,4971.0
F00103,persimmons,7127.7,23.8307,22.0,46.71,5250.0
F00104,locust beans,2283.0,24.9945,6.0,58.92,2400.0
F00105,grape,7296.5,21.7747,9.0,62.19,2190.0
F00106,hempseed,0.0,29.6723,40.0,19.3,2310.0
F00107,walnuts in shell,1881.1,29.2609,11.0,27.93,4500.0
F00108,oats,2306.1,34.8725,10.0,62.93,4040.0
F00109,papaya,38757.3,24.6368,2.0,68.5,2500.0
F00110,apple,6666.3,21.1148,22.0,64.98,4470.0
F00111,blackgram,904.4,28.4954,68.0,21.73,4500.0
F00112,chillies and peppers dry raw,4089.4,29.246,24.0,18.34,4565.0
F00113,eggs primary,143255.0,25.7629,2.0,11.78,3800.0
F00114,cashew nuts in shell,289.5,24.8544,18.0,12.37,6315.0
F00115,cucumbers and gherkins,20000.0,24.8891,6.0,56.25,4550.0
F00116,lupins,1000.0,17.9278,6.0,47.08,5760.0
F00117,raw milk of sheep,656.0,23.8609,8.0,41.54,2535.0
F00118,quinoa,1803.3,24.4435,50.0,12.69,2800.0
F00119,cow peas dry,494.0,28.706,2.0,14.84,3810.0
F00120,jute raw or retted,1420.4,22.6265,6.0,40.55,7500.0
F00121,other stimulant spice and aromatic crops n e c,1672.2,29.7701,28.0,14.62,3200.0
F00122,rape or colza seed,1801.1,30.4124,28.0,11.98,1435.0
F00123,chilli,2965.9,23.062,6.0,48.46,4220.0
F00124,abaca manila hemp raw,1166.6,29.8074,6.0,38.0,4360.0
F00125,anise badian coriander cumin caraway fennel and juniper berries raw,738.1,32.6807,26.0,16.55,2475.0
F00126,banana,8639.4,26.2101,7.0,61.08,2465.0
F00127,pulses total,1953.2,10.1643,24.0,58.95,5900.0
F00128,raw milk of cattle,13190.0,29.9435,60.0,62.83,3450.0
F00129,plums and sloes,18733.3,31.4095,2.0,12.9,6090.0
F00130,quinces,3378.3,25.4186,6.0,60.56,3880.0
F00131,lupins,1847.5,28.7679,46.0,39.3,2650.0
F00132,onions and shallots dry,14166.1,18.4397,6.0,34.37,7435.0
F00133,cantaloupes and other melons,12000.0,26.1249,5.0,64.37,5995.0
F00134,potatoes,41772.9,22.9867,10.0,53.26,8750.0
F00135,sour cherries,6658.6,29.8785,16.0,22.85,4500.0
F00136,edible roots and tubers with high starch or inulin content n e c fresh,13716.6,22.4267,2.0,54.68,24000.0
F00137,orange,21895.9,31.8521,5.0,51.76,1670.0
F00138,other citrus fruit n e c,9198.5,25.4623,80.0,59.52,4161.0
F00139,eggs from other birds in shell fresh n e c,25143.0,26.2237,2.0,16.86,6350.0
F00140,karite nuts,1208.5,25.7629,12.0,54.33,5000.0
F00141,pomelos and grapefruits,18399.3,26.709,6.0,62.57,6026.0
F00142,onions and shallots dry,59918.4,28.3004,9.0,56.44,3800.0
F00143,mat leaves,4200.0,23.3439,24.0,13.91,4718.0
F00144,treenuts total,1101.3,30.3932,2.0,55.05,3500.0
F00145,soybean,255.0,24.1859,2.0,56.7,4000.0
F00146,coffee,5327.8,25.1779,2.0,29.62,3050.0
F00147,carrot,20423.8,20.689,23.0,60.94,6500.0
F00148,agave fibres raw n e c,845.6,25.9402,7.0,40.06,6773.0
F00149,tomatoes,34065.8,30.0209,56.0,26.02,5010.0
F00150,orange,3894.6,31.8521,50.0,28.2,6831.0
F00151,kola nuts,417.6,27.3987,60.0,14.89,4500.0
F00152,potatoes,11303.6,34.9466,8.0,26.43,2450.0
F00153,muskmelon,3172.2,29.3403,26.0,68.71,4200.0
F00154,watermelon,144600.5,24.9012,5.0,33.5,2825.0
F00155,other stone fruits,2750.0,18.2023,28.0,47.78,1890.0
F00156,seed cotton unginned,1719.2,24.8492,2.0,31.07,1000.0
F00157,rice,6903.5,23.8572,6.0,68.77,2494.0
F00158,lentils dry,2380.2,27.4005,2.0,19.97,7620.0
F00159,seed cotton unginned,315.3,28.6721,14.0,35.53,5702.0
F00160,seed cotton unginned,2304.7,28.0295,36.0,35.53,4925.0
F00161,groundnut,726.2,31.8521,27.0,37.29,7100.0
F00162,areca nuts,3637.3,23.9091,2.0,21.01,2225.0
F00163,raw hides and skins of cattle,359.0,17.9867,5.0,34.53,2314.0
F00164,raw milk of camel,3372.0,25.8473,34.0,50.02,7500.0
F00165,raw milk of buffalo,21673.0,23.1426,4.0,69.65,5375.0
F00166,tallowtree seeds,2470.4,25.6896,30.0,43.47,5600.0
F00167,garlic,13885.0,18.7836,11.0,37.91,34000.0
F00168,carrots and turnips,18413.8,29.6995,8.0,41.84,2900.0
F00169,ginger,54286.0,24.1308,6.0,61.71,3650.0
F00170,blackgram,9045.0,33.4908,8.0,15.99,5770.0
F00171,sugar cane,49816.7,23.3523,6.0,33.58,2212.0
F00172,dates,6998.7,21.4218,8.0,22.7,2300.0
F00173,ginger,1000.0,28.5462,2.0,65.98,3730.0
F00174,raw milk of sheep,921.0,24.215,4.0,34.92,1150.0
F00175,artichokes,7042.2,25.3579,11.0,47.22,6611.0
F00176,arhar,10464.8,22.9546,16.0,60.18,6040.0
F00177,onions and shallots green,2732.1,27.6383,11.0,31.93,2384.0
F00178,pigeonpeas,6504.6,34.9317,10.0,26.06,4520.0
F00179,arhar,20999.0,28.2237,48.0,28.87,7575.0
F00180,mat leaves,4200.0,43.302,4.0,56.1,2530.0
F00181,asparagus,5969.5,18.4165,4.0,37.2,2565.0
F00182,taro,6478.0,28.8408,4.0,27.41,4164.0
F00183,rape or colza seed,2866.6,22.6371,46.0,63.74,3200.0
F00184,orange,11132.8,32.3194,3.0,15.35,4310.0
F00185,bajra,5054.3,25.2041,44.0,40.87,2530.0
F00186,raw hides and skins of goats or kids,30.0,25.0102,2.0,69.13,3850.0
F00187,gooseberries,7866.7,20.8927,16.0,44.35,1600.0
F00188,raw milk of goats,603.0,25.6245,7.0,48.42,2600.0
F00189,poppy seed,615.2,27.0277,10.0,24.67,6500.0
F00190,soybean,220252.7,26.2507,54.0,32.74,3096.0
F00191,fibre crops fibre equivalent,216.2,19.2598,50.0,44.76,2365.0
F00192,coconut,3857.1,25.6129,4.0,46.15,4500.0
F00193,papayas,18719.2,22.6036,7.0,35.27,12300.0
F00194,cauliflowers and broccoli,17679.6,25.1384,2.0,59.75,2200.0
F00195,sweet potatoes,4774.2,33.4641,12.0,22.42,2485.0
F00196,groundnut,70076.0,27.6982,52.0,29.46,5180.0
F00197,poppy seed,810.0,39.7315,16.0,59.52,5900.0
F00198,raw milk of buffalo,28444.0,29.246,6.0,51.43,6674.0
F00199,gooseberries,5882.4,15.7814,20.0,16.46,740.0
F00200,oil palm fruit,12101.8,26.8748,2.0,56.66,4000.0
F00201,hen eggs in shell fresh,112797.0,23.7387,9.0,37.34,10180.0
F00202,natural rubber in primary forms,588.0,28.3636,2.0,11.87,7530.0
F00203,roots and tubers total,5961.3,31.6533,38.0,18.8,6800.0
F00204,mangoes guavas and mangosteens,5066.7,22.7823,28.0,20.34,3900.0
F00205,cherries,7833.8,19.3061,20.0,21.2,2240.0
F00206,triticale,2066.7,28.6456,14.0,16.52,7500.0
F00207,seed cotton unginned,957.6,26.8153,3.0,37.18,6120.0
F00208,asparagus,2643.8,25.2878,7.0,35.22,3859.0
F00209,cucumbers and gherkins,126011.2,26.1249,8.0,42.27,4825.0
F00210,pepper raw,4702.3,23.0528,2.0,38.16,10400.0
F00211,green garlic,14625.9,28.6956,11.0,41.1,3300.0
F00212,other fibre crops raw n e c,561.8,28.5417,90.0,47.82,2395.0
F00213,coconut,14887.6,25.6003,18.0,63.4,5458.0
F00214,cocoa beans,571.1,18.4741,9.0,54.72,6666.0
F00215,pumpkins squash and gourds,20477.7,35.3778,21.0,19.85,1340.0
F00216,triticale,2158.3,27.0618,9.0,48.7,2040.0
F00217,brinjal,2591.4,29.9968,2.0,63.94,2000.0
F00218,broad beans and horse beans dry,1250.0,29.2114,28.0,40.49,7640.0
F00219,onions and shallots green,25402.9,23.8258,54.0,38.48,1200.0
F00220,leeks and other alliaceous vegetables,3889.8,23.6148,40.0,34.44,6071.0
F00221,lentil,91609.0,20.0468,12.0,39.64,4710.0
F00222,lentil,10175.5,20.3908,3.0,43.89,6126.0
F00223,avocados,4937.2,18.4789,8.0,65.13,480.0
F00224,linseed,1010.7,29.6789,11.0,55.93,4351.0
F00225,other tropical fruits n e c,18035.3,27.7265,32.0,20.78,4200.0
F00226,buckwheat,1360.5,25.3924,14.0,10.26,6550.0
F00227,strawberries,18523.1,31.6652,2.0,24.73,1760.0
F00228,cashewapple,4405.4,23.502,2.0,12.33,1570.0
F00229,olives,1058.3,29.3998,14.0,67.76,3000.0
F00230,other fibre crops raw n e c,2960.9,19.6829,13.0,30.22,7185.0
F00231,raw hides and skins of cattle,359.0,27.7265,16.0,61.94,6650.0
F00232,blackgram,7518.0,25.1986,10.0,44.08,8195.0
F00233,coconuts in shell,6471.2,26.5326,24.0,52.58,2360.0
F00234,leeks and other alliaceous vegetables,175.1,18.4165,12.0,53.37,6100.0
F00235,other stone fruits,4846.4,25.2827,14.0,56.07,3600.0
F00236,persimmons,7127.7,14.78,4.0,40.63,2750.0
F00237,pyrethrum dried flowers,258.6,23.8534,2.0,56.4,3950.0
F00238,gooseberries,8539.2,26.0163,3.0,17.34,7200.0
F00239,rye,1896.4,20.9498,15.0,33.8,3780.0
F00240,yautia,12428.8,28.4452,24.0,37.11,2195.0
F00241,quinces,7719.7,27.798,36.0,67.86,12840.0
F00242,potatoes,16847.4,25.4346,10.0,53.3,5156.0
F00243,other fruits n e c,6127.1,25.7872,5.0,25.75,4000.0
F00244,eggs primary,51011.0,29.503,13.0,29.89,2360.0
F00245,lentils dry,2468.6,26.2234,38.0,41.33,5300.0
F00246,raw hides and skins of buffaloes,433.0,31.4934,8.0,62.07,6475.0
F00247,rape or colza seed,3162.6,32.238,2.0,33.88,2300.0
F00248,cassava fresh,18431.8,27.92,24.0,41.32,6301.0
F00249,muskmelon,49942.0,28.0331,32.0,17.56,2220.0
F00250,ginger raw,27492.8,23.6051,6.0,56.0,6400.0
F00251,other vegetables fresh n e c,15300.4,21.2073,6.0,58.01,8592.0
F00252,oilcrops oil equivalent,539.7,29.7301,6.0,66.93,3100.0
F00253,potatoes,20449.5,28.7783,54.0,63.19,17000.0
F00254,citrus fruit total,10467.6,27.3511,60.0,26.11,2160.0
F00255,anise badian coriander cumin caraway fennel and juniper berries raw,15362.4,29.0126,8.0,23.96,4450.0
F00256,lettuce and chicory,23000.0,27.6383,6.0,13.74,830.0
F00257,coconut,259.0,29.525,26.0,35.19,4300.0
F00258,pumpkins squash and gourds,10737.7,29.1294,4.0,53.18,5401.0
F00259,sesame seed,293.5,30.0182,4.0,31.0,2442.0
F00260,lettuce and chicory,10000.5,23.9865,26.0,55.4,7341.0
F00261,anise badian coriander cumin caraway fennel and juniper berries raw,1164.6,25.7629,2.0,27.08,6200.0
F00262,pomegranate,10127.5,24.3277,6.0,45.3,5250.0
F00263,raw hides and skins of goats or kids,42.0,27.9624,28.0,18.85,5743.0
F00264,pineapples,19366.2,39.2334,15.0,10.06,6112.0
F00265,orange,4554.7,29.9836,18.0,33.9,2245.0
F00266,cashewapple,5315.3,29.4716,30.0,66.22,1700.0
F00267,poppy seed,655.0,28.8786,17.0,65.36,5180.0
F00268,raw hides and skins of buffaloes,259.0,17.9867,23.0,40.27,4500.0
F00269,areca nuts,4998.4,22.491,3.0,12.41,3000.0
F00270,leeks and other alliaceous vegetables,25737.4,20.6753,9.0,68.43,5820.0
F00271,string beans,7950.2,29.8757,27.0,54.35,4145.0
F00272,locust beans,2000.0,28.5697,33.0,69.32,6370.0
F00273,cow peas dry,945.9,25.2746,2.0,15.42,3991.0
F00274,bambara beans dry,816.2,18.3589,4.0,30.37,680.0
F00275,kiwi fruit,17782.2,25.5041,44.0,62.85,1650.0
F00276,jute,52929.7,23.6681,24.0,21.73,3460.0
F00277,cabbages,23047.4,22.0846,30.0,29.93,2211.0
F00278,roots and tubers total,8458.8,24.7138,12.0,21.62,6075.0
F00279,orange,39522.5,17.6655,9.0,28.46,2455.0
F00280,cranberries,8490.0,27.1154,6.0,60.98,4580.0
F00281,peppermint spearmint,16518.3,22.4452,14.0,64.46,10000.0
F00282,quinces,13241.8,26.8075,10.0,37.76,4950.0
F00283,seed cotton unginned,1994.8,28.7783,24.0,46.49,5955.0
F00284,peas dry,2472.2,28.6982,23.0,66.01,2600.0
F00285,raw milk of buffalo,18212.0,27.3353,10.0,62.06,5200.0
F00286,apple,13851.2,23.0895,7.0,42.16,5200.0
F00287,okra,8705.9,22.9846,8.0,61.4,2800.0
F00288,papayas,15931.6,27.2743,26.0,26.09,3000.0
F00289,pumpkins squash and gourds,9507.7,25.5675,5.0,30.0,3425.0
F00290,triticale,4123.5,41.4197,2.0,54.47,1220.0
F00291,cabbages,42062.3,24.8402,24.0,25.46,850.0
F00292,cassava fresh,12017.5,25.7875,5.0,27.81,18200.0
F00293,chicory roots,28025.2,24.3804,20.0,25.23,4100.0
F00294,maize,5442.7,18.093,11.0,10.85,2190.0
F00295,grape,3882.0,38.061,5.0,24.48,6400.0
F00296,string beans,25278.0,33.1818,3.0,42.45,3750.0
F00297,oats,1666.5,17.4891,2.0,50.8,5100.0
F00298,eggplants,5981.4,20.1914,14.0,68.42,17000.0
F00299,cranberries,65414.0,28.0958,5.0,65.39,6630.0
F00300,sugar beet,51944.3,23.3704,4.0,37.49,2900.0
F00301,raw hides and skins of sheep or lambs,21.0,26.5233,10.0,13.14,4081.0
F00302,peaches and nectarines,7108.5,29.7093,144.0,50.28,6165.0
F00303,cashewapple,4405.4,25.6171,2.0,58.95,16000.0
F00304,kiwi fruit,10234.2,22.1906,14.0,18.15,5570.0
F00305,tea leaves,1397.4,33.88,16.0,45.13,4200.0
F00306,edible roots and tubers with high starch or inulin content n e c fresh,8213.5,22.7823,6.0,27.04,2470.0
F00307,mungbean,27480.2,29.6502,12.0,24.46,11400.0
F00308,cassava fresh,11217.9,26.6635,4.0,27.95,5425.0
F00309,raw milk of cattle,14606.0,30.641,20.0,52.26,6120.0
F00310,raw milk of cattle,5871.0,19.0206,9.0,31.16,3615.0
F00311,sweet potatoes,14934.4,29.0525,10.0,51.4,15900.0
F00312,pomelos and grapefruits,43175.5,28.524,4.0,28.38,500.0
F00313,other beans green,4697.6,25.5247,28.0,69.06,2750.0
F00314,oilcrops oil equivalent,833.2,26.0437,6.0,69.13,7361.0
F00315,melonseed,183.8,23.1141,7.0,32.07,3451.0
F00316,raw hides and skins of goats or kids,13.0,29.2212,2.0,18.9,1620.0
F00317,green gram,10711.1,29.7014,2.0,40.41,7400.0
F00318,bambara beans dry,1050.8,26.3338,6.0,15.94,6224.0
F00319,bhindi,24551.5,31.4847,2.0,17.13,1343.0
F00320,roots and tubers total,17189.3,26.6839,10.0,61.05,6040.0
F00321,buckwheat,3518.6,24.1855,2.0,66.96,2441.0
F00322,broad beans and horse beans green,3339.7,31.0196,10.0,67.36,2310.0
F00323,chick peas dry,1820.1,21.6585,4.0,44.07,460.0
F00324,asparagus,4917.9,28.1884,9.0,24.11,5225.0
F00325,persimmons,16625.3,24.215,4.0,35.69,4800.0
F00326,beans dry,950.5,23.8681,27.0,16.71,1450.0
F00327,nutmeg mace cardamoms raw,469.3,24.164,52.0,17.18,5860.0
F00328,green garlic,6019.1,10.3561,12.0,10.37,9750.0
F00329,cabbages,15151.5,29.5733,8.0,47.31,13000.0
F00330,triticale,3560.0,23.5644,7.0,15.04,5550.0
F00331,fonio,645.2,25.1878,2.0,49.35,4250.0
F00332,kola nuts,289.7,29.8686,14.0,34.82,2499.0
F00333,lentil,121003.7,25.7875,6.0,68.49,6050.0
F00334,citrus fruit total,5718.9,18.9022,24.0,14.56,7020.0
F00335,chillies and peppers green,9054.2,26.5084,26.0,12.24,5328.0
F00336,vetches,2501.0,17.8878,2.0,63.67,7001.0
F00337,pineapples,13344.9,28.0866,6.0,11.37,4770.0
F00338,sour cherries,3666.7,26.2023,17.0,43.27,2100.0
F00339,other oil seeds n e c,1457.7,25.9402,22.0,14.39,7400.0
F00340,kapok fruit,1319.5,23.1887,5.0,31.54,1230.0
F00341,chilli,18616.8,34.0362,2.0,25.46,1750.0
F00342,seed cotton unginned,2449.3,24.9644,2.0,25.64,11900.0
F00343,chilli,791.7,25.5496,5.0,64.96,2012.0
F00344,treenuts total,4943.2,27.9268,13.0,68.64,2510.0
F00345,other pome fruits,747.5,15.7737,3.0,23.48,2815.0
F00346,carrot,12081.3,27.16,9.0,32.14,7200.0
F00347,mungbean,1003.3,28.5474,3.0,55.08,7200.0
F00348,triticale,2625.5,28.0331,23.0,51.11,6250.0
F00349,cantaloupes and other melons,26205.1,28.5417,36.0,11.11,1030.0
F00350,plums and sloes,2883.0,22.3016,10.0,64.35,6125.0
F00351,hempseed,129.8,32.8171,12.0,12.52,4200.0
F00352,jute raw or retted,1067.6,27.2554,13.0,67.91,3950.0
F00353,kenaf and other textile bast fibres raw or retted,942.2,24.3263,50.0,22.64,4215.0
F00354,chillies and peppers dry raw,2003.1,25.6015,30.0,21.69,5671.0
F00355,roots and tubers total,2256.8,20.06,46.0,45.05,12450.0
F00356,yams,4583.8,30.3026,2.0,49.03,6845.0
F00357,chick peas dry,442.2,25.1384,10.0,62.91,9925.0
F00358,areca nuts,1410.5,24.6774,2.0,46.98,2942.0
F00359,treenuts total,405.4,28.2975,2.0,50.83,1600.0
F00360,yams,10787.6,25.7082,3.0,23.28,5900.0
F00361,safflower seed,581.3,27.3854,48.0,27.15,5665.0
F00362,papaya,13024.3,30.1077,17.0,65.25,4300.0
F00363,mangoes guavas and mangosteens,4837.8,29.8733,22.0,63.05,11175.0
F00364,mustard seed,1108.0,21.3509,132.0,29.29,12350.0
F00365,roots and tubers total,16740.6,16.1482,13.0,29.83,4415.0
F00366,true hemp raw or retted,1580.0,28.6971,2.0,14.03,5400.0
F00367,abaca manila hemp raw,154.7,19.9526,7.0,23.61,7140.0
F00368,anise badian coriander cumin caraway fennel and juniper berries raw,1050.4,28.9855,62.0,20.89,3070.0
F00369,papaya,11228.1,35.6767,15.0,12.78,2350.0
F00370,flax raw or retted,555.9,29.1938,10.0,49.53,2025.0
F00371,pistachios in shell,1757.3,28.6363,4.0,67.65,2400.0
F00372,pulses total,1434.1,19.5575,8.0,31.8,6120.0
F00373,yautia,11748.0,24.5845,26.0,19.62,5241.0
F00374,cloves raw,360.3,23.7688,6.0,59.6,4267.0
F00375,mustard seed,923.1,34.0362,9.0,53.57,2435.0
F00376,pyrethrum dried flowers,637.8,35.8986,10.0,34.31,3700.0
F00377,cinnamon and cinnamon tree flowers raw,654.2,27.6383,22.0,45.38,2360.0
F00378,leeks and other alliaceous vegetables,653.1,28.8958,2.0,57.28,3900.0
F00379,kenaf and other textile bast fibres raw or retted,384.6,25.3755,54.0,36.92,4369.0
F00380,cereals primary,4894.7,23.3913,7.0,38.04,5200.0
F00381,ginger,3138.6,25.3924,2.0,31.86,4210.0
F00382,chillies and peppers dry raw,2688.6,22.9867,16.0,69.08,7125.0
F00383,pulses total,774.7,24.7985,4.0,17.38,7176.0
F00384,watermelon,42597.2,26.8437,30.0,61.86,3738.0
F00385,tomatoes,35532.5,26.0037,5.0,46.68,9850.0
F00386,plums and sloes,3877.9,32.2765,25.0,38.74,2350.0
F00387,currants,660.2,26.1438,3.0,14.27,4200.0
F00388,castor oil seeds,657.5,25.5422,104.0,55.18,6500.0
F00389,vegetables primary,12496.2,28.9632,17.0,10.34,4400.0
F00390,seed cotton unginned,2400.0,19.4559,56.0,24.67,2560.0
F00391,natural rubber in primary forms,1181.4,23.6734,14.0,50.31,9730.0
F00392,sugar crops primary,48967.5,29.9441,32.0,49.73,2215.0
F00393,cocoa beans,488.3,31.9993,15.0,15.21,5458.0
F00394,watermelon,30446.2,25.1047,56.0,20.68,5852.0
F00395,mustard,1295.7,40.212,9.0,36.88,6500.0
F00396,carrots and turnips,18058.7,33.3614,30.0,35.28,4007.0
F00397,jute raw or retted,4000.6,20.2732,10.0,53.63,1555.0
F00398,sour cherries,73133.6,28.6148,20.0,45.76,2500.0
F00399,cabbage,21190.5,24.8892,50.0,48.36,1000.0
F00400,pepper raw,1954.0,41.656,18.0,33.64,6300.0
F00401,apricots,4172.0,27.1326,6.0,37.51,5630.0
F00402,mustard,736.0,23.3961,28.0,50.32,6270.0
F00403,milk total,18711.0,24.7125,40.0,25.96,9930.0
F00404,poppy seed,1065.6,29.3432,32.0,25.59,6355.0
F00405,walnuts in shell,3329.0,15.786,24.0,59.06,3600.0
F00406,mat leaves,6266.0,26.8844,4.0,69.07,2480.0
F00407,string beans,25278.0,23.7876,2.0,48.36,1085.0
F00408,treenuts total,795.7,24.5346,2.0,23.96,2365.0
F00409,peppermint spearmint,1640.0,27.9497,2.0,66.05,2725.0
